State,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2019
Alabama,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Rep,Rep,Rep,Rep,Rep
Alaska,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Split,Rep,Rep,Rep*,Rep
Arizona,Rep,Rep,Rep,Rep,Rep,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Arkansas,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Rep,Rep,Rep,Rep
California,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Colorado,Rep,Rep,Rep,Rep,Rep,Split,Rep,Dem,Dem,Dem,Dem,Split,Dem,Split,Divided,Dem
Connecticut,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Divided*,Dem
Delaware,Split,Split,Split,Split,Split,Split,Split,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Florida,Dem,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Georgia,Dem,Dem,Dem,Dem,Dem,Dem,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Hawaii,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Idaho,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Illinois,Dem,Split,Split,Split,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Indiana,Split,Split,Split,Split,Split,Split,Split,Rep,Split,Split,Split,Rep,Rep,Rep,Rep,Rep
Iowa,Dem,Dem,Split,Rep,Rep,Rep,Rep,Split,Dem,Dem,Dem,Split,Split,Split,Rep,Rep
Kansas,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Kentucky,Dem,Dem,Dem,Dem,Dem,Split,Split,Split,Split,Split,Split,Split,Split,Split,Rep,Rep
Louisiana,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Rep,Rep,Rep,Rep,Rep
Maine,Dem,Dem,Dem,Dem,Dem,Split,Dem,Dem,Dem,Dem,Dem,Rep,Dem,Split,Divided,Dem
Maryland,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Massachusetts,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Michigan,Split,Split,Split,Split,Rep,Rep,Rep,Rep,Split,Split,Split,Rep,Rep,Rep,Rep,Rep
Minnesota,Dem,Dem,Dem,Dem,Split,Split,Split,Split,Dem,Dem,Dem,Rep,Dem,Split,Rep,Divided
Mississippi,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Rep,Rep,Rep,Rep,Rep
Missouri,Dem,Dem,Dem,Dem,Dem,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Montana,Split,Split,Rep,Rep,Rep,Rep,Rep,Split,Split,Split,Split,Rep,Rep,Rep,Rep,Rep
Nebraska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,N/A,N/A
Nevada,Split,Split,Split,Split,Split,Split,Split,Split,Split,Dem,Dem,Dem,Dem,Rep,Dem,Dem
New Hampshire,Rep,Rep,Rep,Rep,Split,Rep,Rep,Rep,Dem,Dem,Dem,Rep,Split,Rep,Rep,Dem
New Jersey,Dem,Rep,Rep,Rep,Rep,Rep,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
New Mexico,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Dem,Dem
New York,Split,Split,Split,Split,Split,Split,Split,Split,Split,Dem,Dem,Split,Dem*,Split,Divided,Dem
North Carolina,Dem,Dem,Dem,Dem,Dem,Dem,Split,Dem,Dem,Dem,Dem,Rep,Rep,Rep,Rep,Rep
North Dakota,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Ohio,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Rep,Rep,Rep,Rep,Rep
Oklahoma,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Oregon,Dem,Split,Rep,Rep,Rep,Rep,Split,Split,Dem,Dem,Dem,Split,Dem,Dem,Dem,Dem
Pennsylvania,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Rep,Rep,Rep,Rep,Rep
Rhode Island,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
South Carolina,Dem,Dem,Split,Split,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
South Dakota,Rep,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Tennessee,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Texas,Dem,Dem,Dem,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Utah,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Vermont,Split,Split,Split,Split,Dem,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Virginia,Dem,Dem,Dem,Split,Split,Rep,Rep,Rep,Rep,Split,Split,Split,Rep,Rep,Rep,Rep
Washington,Split,Dem,Split,Split,Split,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem*,Split,Dem,Dem
West Virginia,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Rep,Rep,Rep
Wisconsin,Dem,Dem,Split,Split,Split,Split,Rep,Rep,Split,Dem,Dem,Rep,Rep,Rep,Rep,Rep
Wyoming,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
,,,,,,,,,,,,,,,,
